Id,Prediction
0,4080452.9904
1,3183897.36144
2,3630677.10682
3,3319036.31451
4,3706552.42844
5,4414464.58702
6,3803514.48147
7,3770120.24352
8,3853946.50819
9,3730415.7192
10,4581474.85501
11,4697995.25323
12,3949007.49112
13,4280697.21959
14,4367591.82557
15,4048820.10215
16,4889750.18522
17,3244225.93749
18,4214803.26074
19,3703186.57338
20,4453776.05742
21,4387116.12287
22,4102465.55379
23,4451706.92013
24,4094594.29412
25,3185679.92703
26,2621661.91886
27,3828599.36467
28,4786470.77806
29,4395205.54518
30,4140709.5404
31,4380302.38066
32,4124984.388
33,5263423.7952
34,3751628.40066
35,5078454.19636
36,3902158.65095
37,3870390.73396
38,2922605.22445
39,4849038.1968
40,4113359.86374
41,4984561.9736
42,3436918.62585
43,5252002.61124
44,4887254.88762
45,4777741.2477
46,3920028.96004
47,3839150.7038
48,4122301.24105
49,2941948.48133
50,3393624.4673
51,3623577.24291
52,4012243.56796
53,3398154.13356
54,3295389.41743
55,3678188.39566
56,4328628.18963
57,4788417.84228
58,4671538.01254
59,4107793.89632
60,3559395.6503
61,3517472.47946
62,4143391.66283
63,3770714.59838
64,3792795.16557
65,7391774.25007
66,3762944.23946
67,4849118.34682
68,4758262.98111
69,3909931.45881
70,3600200.3134
71,3948748.32623
72,3420317.70704
73,3964284.38748
74,4197742.18625
75,3017295.256
76,4140816.20186
77,4114648.73686
78,4105565.28232
79,3807023.51963
80,4887624.45664
81,3683569.54961
82,4453078.23512
83,3894874.30715
84,4610191.68835
85,3283411.29014
86,4514150.39849
87,3732709.72594
88,4057378.27853
89,4799625.50169
90,5097151.53981
91,3841721.69109
92,3615864.33517
93,3940525.50895
94,6484225.51969
95,4610358.23041
96,3833423.28846
97,3652127.94659
98,4325829.21426
99,4197411.55441
100,4960641.1452
101,3100216.66253
102,3980391.97117
103,3224558.8376
104,4967326.9866
105,3907359.95199
106,4271820.40659
107,9161086.36029
108,3576266.87434
109,4660233.92939
110,4267779.00128
111,4745934.71363
